locationname,marketname,city,countrycode,address,zip,state,latitude,longitude,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall
Kerrville,"San Antonio, TX",Kerrville,US,1060 Junction Hwy,78028,TX,30.0594335,-99.16391833,"White, Seth (Seth)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/kerrville?utm_source=yext&utm_medium=link,3.0,12.0,2015.0,2015-12-03,interior,True,Stand Alone,False
Davis Lake,"Charlotte, NC",Charlotte,US,8433 Davis Lake Pkwy,28269,NC,35.33361,-80.81318,Stan Stepp,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/davis-lake?utm_source=yext&utm_medium=link,8.0,12.0,2005.0,2005-12-08,interior,True,Stand Alone,False
Prosperity Church Rd,"Charlotte, NC",Charlotte,US,5920 Prosperity Church Rd,28269,NC,35.3734287,-80.7846275,"Singleton, Rosslyn (Rosslyn)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/prosperity-church-rd?utm_source=yext&utm_medium=link,11.0,4.0,2019.0,2019-04-11,interior,True,Stand Alone,False
Northlake Mall (NC),"Charlotte, NC",Charlotte,US,6801 Northlake Mall Dr Ste FC201,28216,NC,35.350246,-80.852689,"McFarland, Tony (Tony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/northlake-mall-nc?utm_source=yext&utm_medium=link,15.0,9.0,2005.0,2005-09-15,none,False,Food Court,True
University Place,"Charlotte, NC",Charlotte,US,8700 University Exec Park Dr,28262,NC,35.306731,-80.752288,"Rogers, Robert (Rob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/university-place?utm_source=yext&utm_medium=link,3.0,10.0,2019.0,2019-10-03,interior,True,Stand Alone,False
Northlake Parkway,"Charlotte, NC",Charlotte,US,8411 Northlake Commons Blvd,28216,NC,35.3497308,-80.8564731,DuPre Bingham,TEMPORARY_CLOSE,America/New_York,https://www.chick-fil-a.com/locations/nc/northlake-parkway?utm_source=yext&utm_medium=link,5.0,1.0,2006.0,2006-01-05,interior,True,Stand Alone,False
College Downs,"Charlotte, NC",Charlotte,US,8428 University Blvd,28213,NC,35.295545,-80.74114,"Rogers, Robert (Rob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/college-downs?utm_source=yext&utm_medium=link,14.0,12.0,2023.0,2023-12-14,none,True,Stand Alone,
University of NC-Charlotte,"Charlotte, NC",Charlotte,US,9201 University City Blvd,28223,NC,35.3065543,-80.7310516,"Charping, John (John)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/university-of-nc-charlotte?utm_source=yext&utm_medium=link,13.0,8.0,1992.0,1992-08-13,none,False,,False
Concord Mills,"Charlotte, NC",Concord,US,8020 Concord Mills Blvd,28027,NC,35.37164,-80.71761,Roland Mitchell,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/concord-mills?utm_source=yext&utm_medium=link,10.0,1.0,2002.0,2002-01-10,interior,True,Stand Alone,False
101 South Tryon Street,"Charlotte, NC",Charlotte,US,101 S Tryon St Ste 9,28280,NC,35.2266604,-80.8431913,Andre Harakas,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/101-south-tryon-street?utm_source=yext&utm_medium=link,16.0,12.0,1992.0,1992-12-16,none,False,Food Court,True
Spectrum Center,"Charlotte, NC",Charlotte,US,333 E Trade St,28202,NC,35.225189,-80.839318,"Rogers, Robert (Rob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/spectrum-center?utm_source=yext&utm_medium=link,13.0,10.0,2021.0,2021-10-13,none,False,Food Court,False
Rocky River Road,"Charlotte, NC",Charlotte,US,9355 Sullivan Vale Ln,28215,NC,35.2852013,-80.6711897,Jeremy Stouder,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/rocky-river-road?utm_source=yext&utm_medium=link,24.0,5.0,2023.0,2023-05-24,none,True,Stand Alone,
Mountain Island,"Charlotte, NC",Charlotte,US,3821 Corning Pl,28216,NC,35.3268006,-80.9434911,"Bingham, Charles (DuPre)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/mountain-island?utm_source=yext&utm_medium=link,6.0,1.0,2021.0,2021-01-06,none,True,Stand Alone,False
Lake Norman,"Charlotte, NC",Huntersville,US,16915 Statesville Rd,28078,NC,35.4449531,-80.8667061,"Hatzopoulos, Joseph (Joe)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/lake-norman?utm_source=yext&utm_medium=link,11.0,6.0,1998.0,1998-03-01,interior,True,Stand Alone,False
Harris Square (NC),"Charlotte, NC",Harrisburg,US,6805 Jenkins Ln,28075,NC,35.32224,-80.645081,"Stouder, Jeremy (Jeremy)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/harris-square-nc?utm_source=yext&utm_medium=link,7.0,2.0,2019.0,2019-02-07,interior,True,Stand Alone,False
Afton Ridge,"Charlotte, NC",Concord,US,6061 Bayfield Pkwy,28027,NC,35.41975,-80.67515,"Mitchell, Roland (Roland)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/afton-ridge?utm_source=yext&utm_medium=link,3.0,4.0,2008.0,2008-04-03,interior,True,Stand Alone,False
Carolinas Medical Center,"Charlotte, NC",Charlotte,US,1001 Blythe Blvd,28203,NC,35.20499,-80.83818,Peter Cestrone,TEMPORARY_CLOSE,America/New_York,https://www.chick-fil-a.com/locations/nc/carolinas-medical-center?utm_source=yext&utm_medium=link,2.0,12.0,1996.0,1996-11-22,none,False,Food Court,False
Wendover Plaza,"Charlotte, NC",Charlotte,US,957 N Wendover Rd,28211,NC,35.1923398,-80.7968832,Taylor Jordan,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/wendover-plaza?utm_source=yext&utm_medium=link,7.0,12.0,2023.0,2023-12-07,none,True,Stand Alone,
South End,"Charlotte, NC",Charlotte,US,3015 South Blvd,28209,NC,35.1981251,-80.8680748,"Tsumas, John (John)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/south-end?utm_source=yext&utm_medium=link,10.0,5.0,2007.0,2007-05-10,interior,True,Stand Alone,False
Albemarle Road,"Charlotte, NC",Charlotte,US,9010 Albemarle Rd,28227,NC,35.21104,-80.69105,Hal Queen,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/albemarle-road?utm_source=yext&utm_medium=link,16.0,4.0,1999.0,1999-04-16,interior,True,Stand Alone,False
Concord Commons,"Charlotte, NC",Concord,US,985 Concord Pkwy S,28027,NC,35.3910783,-80.6248762,"Charping, John (John)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/concord-commons?utm_source=yext&utm_medium=link,1.0,6.0,2000.0,2000-05-18,interior,True,Stand Alone,False
Cotswold,"Charlotte, NC",Charlotte,US,4431 Randolph Rd,28211,NC,35.1771935,-80.798992,Andre Harakas,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/cotswold?utm_source=yext&utm_medium=link,20.0,9.0,2001.0,2001-09-20,none,True,Stand Alone,False
Cornelius,"Charlotte, NC",Cornelius,US,17035 Nat Bynum Lane,28031,NC,35.4827186,-80.8810348,"Hatzopoulos, Joseph (Joe)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/cornelius?utm_source=yext&utm_medium=link,9.0,7.0,2020.0,2020-07-09,interior,True,Stand Alone,False
Charlotte-Douglas International Airport,"Charlotte, NC",Charlotte,US,5501 Birmingham Parkway,28208,NC,35.2204902,-80.9443996,"Gilbert, Natasha (Natasha)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/charlotte-douglas-international-airport?utm_source=yext&utm_medium=link,1.0,6.0,2017.0,2017-06-01,none,False,,False
East Woodlawn Road,"Charlotte, NC",Charlotte,US,1540 E Woodlawn Rd,28209,NC,35.1716421,-80.8498977,"Porter, Tamara (Tami)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/east-woodlawn-road?utm_source=yext&utm_medium=link,27.0,6.0,1996.0,1996-06-27,exterior,True,Stand Alone,False
Southpark (NC),"Charlotte, NC",Charlotte,US,4400 Sharon Rd # VC06,28211,NC,35.1529289,-80.8329139,"Crain, James (Jim)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/southpark-nc?utm_source=yext&utm_medium=link,2.0,5.0,1970.0,1970-05-02,none,False,Food Court,True
Concord Parkway,"Charlotte, NC",Concord,US,1475 Concord Pkwy N,28025,NC,35.4382863,-80.6058065,"Perry, James (Stockton)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/concord-parkway?utm_source=yext&utm_medium=link,23.0,10.0,2014.0,2014-10-23,interior,True,Stand Alone,False
Carolina Mall,"Charlotte, NC",Concord,US,1480 Concord Pkwy N,28025,NC,35.4403088,-80.603007,Matt Rice,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/carolina-mall?utm_source=yext&utm_medium=link,24.0,11.0,1987.0,1987-11-24,none,True,Food Court,True
Mint Hill,"Charlotte, NC",Mint Hill,US,7404 Matthews Mint Hill Rd,28227,NC,35.1756042,-80.6533183,Hal Queen,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/mint-hill?utm_source=yext&utm_medium=link,21.0,10.0,2021.0,2021-10-21,interior,True,Stand Alone,False
Denver (NC),"Charlotte, NC",Denver,US,7267 Highway 73,28037,NC,35.44867,-81.00042,"Holland, Shannon (Shannon)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/denver-nc?utm_source=yext&utm_medium=link,29.0,9.0,2016.0,2016-09-29,interior,True,Stand Alone,False
Belmont,"Charlotte, NC",Belmont,US,801 Park St,28012,NC,35.2557505,-81.0274658,"Gilbert, Natasha (Natasha)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/belmont?utm_source=yext&utm_medium=link,8.0,10.0,2009.0,2009-10-08,none,True,Stand Alone,False
Matthews,"Charlotte, NC",Matthews,US,9905 Matthews Park Dr,28105,NC,35.13243,-80.71216,Deno Keretses,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/matthews?utm_source=yext&utm_medium=link,19.0,11.0,1992.0,1992-11-19,none,True,Stand Alone,False
Whitehall Commons Shopping Center,"Charlotte, NC",Charlotte,US,8032 S Tryon St,28273,NC,35.14423,-80.92943,"Cestrone, Peter (Peter)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/whitehall-commons-shopping-center?utm_source=yext&utm_medium=link,24.0,6.0,1999.0,1999-06-17,interior,True,Stand Alone,False
South Point Township,"Charlotte, NC",Belmont,US,925 S Point Rd,28012,NC,35.2235356,-81.0371212,Natasha Gilbert,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/south-point-township?utm_source=yext&utm_medium=link,27.0,7.0,2021.0,2021-07-27,none,True,Stand Alone,False
Arboretum,"Charlotte, NC",Charlotte,US,3117 Pineville Matthews Rd,28226,NC,35.0987238,-80.7815353,"Riddle, Justin (Justin)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/arboretum?utm_source=yext&utm_medium=link,19.0,12.0,1991.0,1991-12-19,exterior,True,Stand Alone,False
Carolina Pavilion,"Charlotte, NC",Charlotte,US,9801 South Blvd,28273,NC,35.1048079,-80.8798211,"Shelton, Terry (Terry)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/carolina-pavilion?utm_source=yext&utm_medium=link,14.0,12.0,1995.0,1995-12-14,none,True,Stand Alone,False
Talbert Road,"Charlotte, NC",Mooresville,US,420 Talbert Rd,28117,NC,35.5811289,-80.8525726,"Wiggins, Darin (Darin)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/talbert-road?utm_source=yext&utm_medium=link,4.0,8.0,2022.0,2022-08-04,none,True,Stand Alone,
Carolina Place,"Charlotte, NC",Pineville,US,11025 Carolina Place Pkwy Ste Fc10,28134,NC,35.0823694,-80.877223,"Shelton, Terry (Terry)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/carolina-place?utm_source=yext&utm_medium=link,24.0,7.0,1991.0,1991-07-24,none,False,Food Court,True
Carowinds,"Charlotte, NC",Fort Mill,US,3900 Avenue of the Carolinas,29708,SC,35.1012875,-80.9412066,"Crosby, John (Michael)",TEMPORARY_CLOSE,America/New_York,https://www.chick-fil-a.com/locations/sc/carowinds?utm_source=yext&utm_medium=link,26.0,3.0,2017.0,2017-03-30,none,False,Food Court,False
Mooresville,"Charlotte, NC",Mooresville,US,457 River Hwy,28117,NC,35.59364,-80.86228,"Wiggins, Darin (Darin)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/mooresville?utm_source=yext&utm_medium=link,15.0,7.0,1999.0,1999-07-15,interior,True,Stand Alone,False
Stonecrest at Piper Glen,"Charlotte, NC",Charlotte,US,7910 Rea Rd,28277,NC,35.0597448,-80.813487,"Johnston, Rebecca (Beckie)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/stonecrest-at-piper-glen?utm_source=yext&utm_medium=link,30.0,7.0,1998.0,1998-04-01,interior,True,Stand Alone,False
Indian Trail,"Charlotte, NC",Indian Trail,US,13801 E Independence Blvd,28079,NC,35.0838071,-80.6596044,Dean Sandbo,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/indian-trail?utm_source=yext&utm_medium=link,20.0,6.0,2013.0,,interior,True,Stand Alone,False
Rivergate Parkway,"Charlotte, NC",Charlotte,US,14111 Rivergate Pkwy,28273,NC,35.104,-80.98473,"Cestrone, Peter (Peter)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/rivergate-parkway?utm_source=yext&utm_medium=link,31.0,8.0,2006.0,2006-08-31,interior,True,Stand Alone,False
Cox Rd,"Charlotte, NC",Gastonia,US,424 Cox Rd,28054,NC,35.2632859,-81.1329936,"Hatley, Nolan (Nolan)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/cox-rd?utm_source=yext&utm_medium=link,30.0,6.0,2022.0,2022-06-30,none,True,Stand Alone,
Waverly,"Charlotte, NC",Charlotte,US,11530 Waverly Center Dr,28277,NC,35.052923,-80.7690053,"TerKeurst, Arthur (Art)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/waverly?utm_source=yext&utm_medium=link,9.0,2.0,2017.0,2017-02-09,interior,True,Stand Alone,False
Blakeney,"Charlotte, NC",Charlotte,US,10001 Rea Rd,28277,NC,35.033015,-80.8048427,"McAllaster, Barry (Barry)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/blakeney?utm_source=yext&utm_medium=link,30.0,5.0,2013.0,2013-05-30,interior,True,Stand Alone,False
Indian Land,"Charlotte, NC",Indian Land,US,10032 Charlotte Hwy,29707,SC,35.01031,-80.85207,"Porter, Arthur (Arthur)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/indian-land?utm_source=yext&utm_medium=link,23.0,6.0,2011.0,2011-06-23,interior,True,Stand Alone,False
Baxter Village,"Charlotte, NC",Fort Mill,US,1600 Highway 160 W,29708,SC,35.0301,-80.96619,"Crosby, John (Michael)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/sc/baxter-village?utm_source=yext&utm_medium=link,28.0,2.0,2008.0,2008-02-28,interior,True,Stand Alone,False
Wesley Chapel Weddington,"Charlotte, NC",Matthews,US,6390 Weddington Rd,28104,NC,35.000597,-80.69498117,"Sandbo, Dean (Dean)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/wesley-chapel-weddington?utm_source=yext&utm_medium=link,22.0,4.0,2010.0,2010-04-22,interior,True,Stand Alone,False
Monroe (NC),"Charlotte, NC",Monroe,US,2592 W Roosevelt Blvd,28110,NC,35.0161895,-80.5713211,"Rowland, David (David)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/monroe-nc?utm_source=yext&utm_medium=link,10.0,6.0,1999.0,1999-06-10,interior,True,Stand Alone,False
Lincolnton [NC],"Charlotte, NC",Lincolnton,US,1904 E Main St,28092,NC,35.477732,-81.22627299999999,"Joyner, Brittany (Brittany)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/lincolnton-nc?utm_source=yext&utm_medium=link,16.0,8.0,2018.0,2018-08-16,interior,True,Stand Alone,False
Mid Rivers Mall Dr & 94,"St. Louis, MO",Saint Peters,US,6180 Mid Rivers Mall Dr,63304,MO,38.741645,-90.6336116,Mark Simmonds,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/mid-rivers-mall-dr-94?utm_source=yext&utm_medium=link,14.0,4.0,2011.0,2011-04-14,interior,True,Stand Alone,False
O'Fallon,"St. Louis, MO",O'Fallon,US,2106 Highway K,63368,MO,38.779064,-90.699174,"Noel, Michael (Mike)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/ofallon?utm_source=yext&utm_medium=link,22.0,9.0,2011.0,2011-09-22,interior,True,Stand Alone,False
St. Charles (MO),"St. Louis, MO",Saint Charles,US,2020 Zumbehl Rd,63303,MO,38.78377009,-90.53248569,Dakota Berry,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/st-charles-mo?utm_source=yext&utm_medium=link,17.0,11.0,2022.0,2022-11-17,none,True,Stand Alone,
Lindenwood University,"St. Louis, MO",Saint Charles,US,209 S Kingshighway St,63301,MO,38.7863879,-90.5015042,"Bruce, James (David)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/lindenwood-university?utm_source=yext&utm_medium=link,22.0,8.0,2016.0,2016-08-31,none,False,,False
Chesterfield Valley,"St. Louis, MO",Chesterfield,US,17365 Chesterfield Airport Rd,63005,MO,38.6688531,-90.6043692,Jeff Greene,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/chesterfield-valley?utm_source=yext&utm_medium=link,9.0,8.0,2007.0,2007-08-09,interior,True,Stand Alone,False
Hawks Ridge (MO),"St. Louis, MO",O'Fallon,US,8280 Old Highway N,63367,MO,38.7637307,-90.7838595,Cody Pierce,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/hawks-ridge-mo?utm_source=yext&utm_medium=link,17.0,11.0,2022.0,2022-11-17,none,True,Stand Alone,
Maryland Heights (MO),"St. Louis, MO",Maryland Heights,US,12607 Dorsett Rd,63043,MO,38.715075,-90.454461,"Griffin, Carter (Carter)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/maryland-heights-mo?utm_source=yext&utm_medium=link,11.0,1.0,2024.0,2024-01-11,none,True,Stand Alone,
Bridgeton (MO),"St. Louis, MO",Bridgeton,US,12450 Saint Charles Rock Rd,63044,MO,38.75572,-90.43232,Todd Anthony,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/bridgeton-mo?utm_source=yext&utm_medium=link,31.0,1.0,2019.0,2019-01-31,none,True,Stand Alone,False
Creve Coeur,"St. Louis, MO",Creve Coeur,US,12398 Olive Blvd,63141,MO,38.673326,-90.458215,Devin Bruce,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/creve-coeur?utm_source=yext&utm_medium=link,15.0,2.0,2024.0,2024-02-15,none,True,Stand Alone,
Ellisville,"St. Louis, MO",Ellisville,US,304 Clarkson Rd,63011,MO,38.6029,-90.58615,Tony Johnson,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/ellisville?utm_source=yext&utm_medium=link,9.0,2.0,2017.0,2017-02-09,interior,True,Stand Alone,False
Wentzville,"St. Louis, MO",Wentzville,US,1918 Wentzville Pkwy,63385,MO,38.815947,-90.875975,Scott Swindler,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/wentzville?utm_source=yext&utm_medium=link,2.0,2.0,2012.0,2012-02-02,none,True,Stand Alone,False
West County Center,"St. Louis, MO",Des Peres,US,184 W County Ctr Spc N,63131,MO,38.599645,-90.446912,David Bruce,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/west-county-center?utm_source=yext&utm_medium=link,17.0,10.0,2002.0,2002-10-17,none,False,Food Court,True
Des Peres,"St. Louis, MO",Des Peres,US,11997 Manchester Rd,63131,MO,38.602494,-90.435389,David Bruce,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/des-peres?utm_source=yext&utm_medium=link,3.0,2.0,2011.0,2011-02-03,interior,True,Stand Alone,False
University City (MO),"St. Louis, MO",St. Louis,US,8637 Olive Blvd,63132,MO,38.674538,-90.358144,Tim Craig,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/university-city-mo?utm_source=yext&utm_medium=link,16.0,11.0,2023.0,2023-11-16,none,True,Stand Alone,
Florissant (MO),"St. Louis, MO",Florissant,US,3159 N Highway 67,63033,MO,38.8106709,-90.2975102,Tasha Fox,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/florissant-mo?utm_source=yext&utm_medium=link,31.0,1.0,2019.0,2019-01-31,interior,True,Stand Alone,False
Brentwood (MO),"St. Louis, MO",Brentwood,US,8590 Eager Rd,63144,MO,38.62879,-90.34023,Bob Gutherz,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/brentwood-mo?utm_source=yext&utm_medium=link,9.0,9.0,2015.0,2015-09-09,none,True,Stand Alone,False
Sunset Hills,"St. Louis, MO",Saint Louis,US,10706 Sunset Hills Plz,63127,MO,38.5522761,-90.4076769,Eric Benting,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/sunset-hills?utm_source=yext&utm_medium=link,14.0,11.0,2013.0,2013-11-14,none,True,Stand Alone,False
St. Louis College of Pharmacy,"St. Louis, MO",Saint Louis,US,4588 Parkview Pl,63110,MO,38.6366208,-90.2608024,"Simmonds, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/st-louis-college-of-pharmacy?utm_source=yext&utm_medium=link,5.0,2.0,2018.0,2018-02-15,none,False,,False
Hampton & Chippewa,"St. Louis, MO",Saint Louis,US,3801 Hampton Ave,63109,MO,38.5948787,-90.2940946,Nick Pyatt,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/hampton-chippewa?utm_source=yext&utm_medium=link,11.0,1.0,2018.0,2018-01-11,interior,True,Stand Alone,False
South County,"St. Louis, MO",St. Louis,US,4125 Lemay Ferry Rd,63129,MO,38.504774,-90.328272,Chris Torres,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/south-county?utm_source=yext&utm_medium=link,31.0,3.0,2016.0,2016-03-31,interior,True,Stand Alone,False
Arnold,"St. Louis, MO",Arnold,US,1 Arnold Mall,63010,MO,38.44451,-90.37309,Shane Neel,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/arnold?utm_source=yext&utm_medium=link,9.0,9.0,2010.0,2010-09-09,interior,True,Stand Alone,False
Southern Illinois University-Edwardsville,"St. Louis, MO",Edwardsville,US,University Ctr,62026,IL,,,"Gutherz, Robert (Bob)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/southern-illinois-university-edwardsville?utm_source=yext&utm_medium=link,7.0,10.0,1998.0,,none,False,,False
Edwardsville (IL),"St. Louis, MO",Edwardsville,US,2319 Troy Rd,62025-2588,IL,38.7852129,-89.9520529,Phillip Brunner,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/edwardsville-il?utm_source=yext&utm_medium=link,9.0,2.0,2023.0,2023-02-09,none,True,Stand Alone,
Fairview Heights,"St. Louis, MO",Fairview Heights,US,6203 N Illinois St,62208,IL,38.589995,-89.985394,Dave Holmes,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/fairview-heights?utm_source=yext&utm_medium=link,2.0,8.0,2012.0,2012-08-02,none,True,Stand Alone,False
Green Mount Commons,"St. Louis, MO",Belleville,US,2532 Green Mount Commons Dr,62221,IL,38.520055,-89.924492,Ben Winner,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/green-mount-commons?utm_source=yext&utm_medium=link,10.0,1.0,2013.0,2013-01-10,interior,True,Stand Alone,False
White Oaks,"Champaign & Springfield-Decatur, IL",Springfield,US,2431 Wabash Ave,62704,IL,39.764539,-89.702391,"Freeman, Isaac (Isaac)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/white-oaks?utm_source=yext&utm_medium=link,10.0,3.0,2016.0,2016-03-10,interior,True,Stand Alone,False
Missouri University of Science & Technology,"St. Louis, MO",Rolla,US,1346 N Bishop Ave,65409,MO,,,"Benting, Eric (Eric)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/missouri-university-of-science-technology?utm_source=yext&utm_medium=link,23.0,8.0,2017.0,2017-08-31,none,False,,False
Southern Illinois University - Carbondale,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",Carbondale,US,1255 Lincoln Dr,62901,IL,37.7138068,-89.21848779999999,"Riley, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/southern-illinois-university-carbondale?utm_source=yext&utm_medium=link,2.0,3.0,2009.0,,none,False,,False
Western Illinois University,"Quincy, IL-Hannibal, MO-Keokuk, IA",Macomb,US,1 University Cir,61455,IL,40.47503333,-90.68635167,"Dugger, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/western-illinois-university?utm_source=yext&utm_medium=link,14.0,1.0,2019.0,2019-02-28,none,False,,False
Cape Girardeau,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",Cape Girardeau,US,3333 Gordonville Rd,63703,MO,37.3019342,-89.5724336,"House, Brian (Brian)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/cape-girardeau?utm_source=yext&utm_medium=link,8.0,9.0,2011.0,2011-09-08,interior,True,Stand Alone,False
Southeast Missouri State University,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",Cape Girardeau,US,1 University Plz,63701,MO,37.315707,-89.527206,"Riley, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/mo/southeast-missouri-state-university?utm_source=yext&utm_medium=link,18.0,1.0,2000.0,,none,False,,False
Eastern Illinois University,"Champaign & Springfield-Decatur, IL",Charleston,US,600 Lincoln Ave,61920,IL,39.4817663,-88.1754628,Rick Johnson,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/eastern-illinois-university?utm_source=yext&utm_medium=link,13.0,9.0,1999.0,,none,False,,False
East Peoria,"Peoria-Bloomington, IL",East Peoria,US,250 W Washington St,61611,IL,40.66866667,-89.5827465,"Dugger, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/east-peoria?utm_source=yext&utm_medium=link,4.0,2.0,2016.0,2016-02-04,interior,True,Stand Alone,False
Bradley University,"Peoria-Bloomington, IL",Peoria,US,1501 W Bradley Ave,61625,IL,40.6977743,-89.6153484,"Dugger, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/bradley-university?utm_source=yext&utm_medium=link,18.0,8.0,2012.0,2012-08-02,none,False,,False
Peoria,"Peoria-Bloomington, IL",Peoria,US,4518 N Sterling Ave,61615,IL,40.7435719,-89.6310302,Ali Holzaepfel,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/peoria?utm_source=yext&utm_medium=link,25.0,10.0,2012.0,2012-10-25,interior,True,Stand Alone,False
Veterans & College,"Peoria-Bloomington, IL",Normal,US,101 S Veterans Pkwy,61761,IL,40.5100161,-88.954092,Justin Whitefoot,TEMPORARY_CLOSE,America/Chicago,https://www.chick-fil-a.com/locations/il/veterans-college?utm_source=yext&utm_medium=link,16.0,9.0,2015.0,2015-09-16,interior,False,Stand Alone,False
Champaign (IL),"Champaign & Springfield-Decatur, IL",Champaign,US,2301 N Prospect Ave,61822,IL,40.1442497,-88.2584991,"Herrington, Julia (Julia)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/champaign-il?utm_source=yext&utm_medium=link,10.0,10.0,2019.0,2019-10-10,interior,True,Stand Alone,False
