name,url,latitude,longitude,telephone,street,city,state,zip,state_name
"Macy's Mall at Robinson Town Center in Pittsburgh, PA",https://www.macys.com/stores/pa/pittsburgh/robinson-town-center_632.html,40.456502,-80.15878,(412) 787-9777,3000 Robinson Center Dr ,Pittsburgh,PA,15205,Pennsylvania
"Macy's South Hills Village Mall in Pittsburgh, PA",https://www.macys.com/stores/pa/pittsburgh/south-hills-village_621.html,40.340128,-80.054818,(412) 854-6800,301 S Hills Vlg ,Pittsburgh,PA,15241,Pennsylvania
"Macy's Wolfchase Galleria in Memphis, TN",https://www.macys.com/stores/tn/memphis/wolfchase-galleria_796.html,35.200959,-89.78749,(901) 937-2600,2840 N Germantown Pkwy ,Memphis,TN,38133,Tennessee
"Macy's Oak Court in Memphis, TN",https://www.macys.com/stores/tn/memphis/oak-court-mall_795.html,35.116604,-89.911144,(901) 766-4199,4545 Poplar Ave ,Memphis,TN,38117,Tennessee
"Macy's Barton Creek Square Mall in Austin, TX",https://www.macys.com/stores/tx/austin/barton-creek-square_704.html,30.327652,-97.810901,(512) 329-2300,2901 S Capital Of Texas Hwy Ste 60 ,Austin,TX,78746,Texas
"Macy's at The Domain in Austin, TX",https://www.macys.com/stores/tx/austin/domain_710.html,30.399949,-97.727016,(512) 490-3300,3311 Esperanza Crossing ,Austin,TX,78758,Texas
"Macy's Dallas Galleria in Dallas, TX",https://www.macys.com/stores/tx/dallas/galleria-dallas_666.html,32.930322,-96.81813,(214) 295-1300,13375 Noel Rd ,Dallas,TX,75240,Texas
"Macy's NorthPark Center in Dallas, TX",https://www.macys.com/stores/tx/dallas/northpark-center_665.html,32.868825,-96.773711,(469) 232-3600,8687 N Central Expy Ste 800 Ste 800,Dallas,TX,75225,Texas
"Macy's By Macy's WestBend in Fort Worth, TX",https://www.macys.com/stores/tx/fortworth/westbend_726.html,32.72682,-97.35989,(817) 258-5200,1751 River Run Suite 101,Fort Worth,TX,76107,Texas
"Macy's Hulen Mall in Fort Worth, TX",https://www.macys.com/stores/tx/fortworth/hulen-mall_678.html,32.679339,-97.397386,(817) 294-6900,4650 S Hulen St ,Fort Worth,TX,76132,Texas
"Macy's Stonebriar Centre in Frisco, TX",https://www.macys.com/stores/tx/frisco/stonebriar-centre_667.html,33.10089,-96.80896,(972) 731-3600,2609 Preston Rd ,Frisco,TX,75034,Texas
"Macy's Backstage Backstage Centre At Preston Ridge in Frisco, TX",https://www.macys.com/stores/backstage/tx/frisco/preston-ridge_229b.html,33.1063996,-96.8092272,,3251 Preston Ridge STE 1400 ,Frisco,TX,75034,Texas
"Macy's Almeda Mall in Houston, TX",https://www.macys.com/stores/tx/houston/almeda-mall_720.html,29.625009,-95.228299,(713) 943-4200,100 Almeda Mall ,Houston,TX,77075,Texas
"Macy's Willowbrook Mall in Houston, TX",https://www.macys.com/stores/tx/houston/willowbrook-mall_715.html,29.961738,-95.54232,(281) 955-4300,4000 Willowbrook Mall ,Houston,TX,77070,Texas
"Macy's Galleria at Houston in Houston, TX",https://www.macys.com/stores/tx/houston/galleria_687.html,29.737432,-95.463447,(832) 667-4200,5135a W Alabama St ,Houston,TX,77056,Texas
"Macy's Memorial City in Houston, TX",https://www.macys.com/stores/tx/houston/memorial-city-mall_686.html,29.779128,-95.544359,(713) 461-0400,900 Memorial City Way Ste 800 ,Houston,TX,77024,Texas
"Macy's La Cantera in San Antonio, TX",https://www.macys.com/stores/tx/sanantonio/shops-at-la-cantera_705.html,29.594415,-98.615204,(210) 332-4800,15900 La Cantera Pkwy Bldg 16 ,San Antonio,TX,78256,Texas
"Macy's South Park in San Antonio, TX",https://www.macys.com/stores/tx/sanantonio/south-park-mall_711.html,29.355672,-98.531764,(210) 334-2000,2310 Sw Military Dr Ste 2004 ,San Antonio,TX,78224,Texas
"Macy's Ingram Park Mall in San Antonio, TX",https://www.macys.com/stores/tx/sanantonio/ingram-park-mall_707.html,29.469508,-98.620941,(210) 647-2400,6301 Nw Loop 410 Ste E ,San Antonio,TX,78238,Texas
"Macy's North Star Mall in San Antonio, TX",https://www.macys.com/stores/tx/sanantonio/north-star-mall_702.html,29.517341,-98.497272,(210) 340-4200,7400 San Pedro Ave Ste 200 Suite 200,San Antonio,TX,78216,Texas
"Macy's Pentagon City in Arlington, VA",https://www.macys.com/stores/va/arlington/fashion-centre-at-pentagon-city_95.html,38.864764,-77.059515,(703) 418-4488,1000 S Hayes St ,Arlington,VA,22202,Virginia
"Macy's Ballston in Arlington, VA",https://www.macys.com/stores/va/arlington/ballston-quarter_86.html,38.879431,-77.111917,(703) 524-5100,685 N Glebe Rd ,Arlington,VA,22203,Virginia
"Macy's Fair Oaks with Furniture and Mattress Gallery in Fairfax, VA",https://www.macys.com/stores/va/fairfax/fair-oaks-mall_216.html,38.862033,-77.356603,(703) 591-3900,11700l Fair Oaks Mall ,Fairfax,VA,22033,Virginia
"Macy's Fair Oaks in Fairfax, VA",https://www.macys.com/stores/va/fairfax/fair-oaks-mall_11.html,38.861862,-77.360088,(571) 432-2200,11901L Fair Oaks Mall ,Fairfax,VA,22033,Virginia
"Macy's Backstage Fair Oaks w/ Furniture and Mattress Gallery in Fairfax, VA",https://www.macys.com/stores/backstage/va/fairfax/fair-oaks-mall_216b.html,38.862033,-77.356603,(703) 591-3900,11700l Fair Oaks Mall ,Fairfax,VA,22033,Virginia
"Macy's Cordata Center in Bellingham, WA",https://www.macys.com/stores/wa/bellingham/cordata-center_378.html,48.797243,-122.48928,(360) 715-6850,4295 Guide Meridian ,Bellingham,WA,98226,Washington
"Macy's Bellis Fair Parkway in Bellingham, WA",https://www.macys.com/stores/wa/bellingham/bellis-fair_372.html,48.786871,-122.487849,(360) 715-6000,50 Bellis Fair Pkwy ,Bellingham,WA,98226,Washington
"Macy's Alderwood Mall in Lynnwood, WA",https://www.macys.com/stores/wa/lynnwood/alderwood_370.html,47.828381,-122.272034,(425) 712-6000,18700 Alderwood Mall Pkwy ,Lynnwood,WA,98037,Washington
"Macy's Alderwood Mall Furniture & Mattress Gallery in Lynnwood, WA",https://www.macys.com/stores/wa/lynnwood/alderwood-mall-furniture-and-mattress-gallery_379.html,47.826067,-122.272809,(425) 712-6850,2909 Alderwood Mall Blvd. ,Lynnwood,WA,98036,Washington
"Macy's Olympia Furniture and Mattress Gallery in Olympia, WA",https://www.macys.com/stores/wa/olympia/olympia-furniture-and-mattress-gallery_446.html,47.046429,-122.938254,(360) 534-7850,2905 Harrison Avenue NW ,Olympia,WA,98502,Washington
"Macy's Capital Mall in Olympia, WA",https://www.macys.com/stores/wa/olympia/capital-mall_436.html,47.041874,-122.933836,(360) 534-7000,625 Black Lake Blvd Sw Ste 301 #301,Olympia,WA,98502,Washington
"Macy's Kitsap Mall in Silverdale, WA",https://www.macys.com/stores/wa/silverdale/kitsap-mall_373.html,47.657197,-122.689429,(360) 613-6000,10315 Silverdale Way Nw ,Silverdale,WA,98383,Washington
"Macy's Silverdale Furniture and Mattress Gallery in Silverdale, WA",https://www.macys.com/stores/wa/silverdale/silverdale-furniture-and-mattress-gallery_380.html,47.658049,-122.690677,(360) 613-6850,3102 NW Randall Way ,Silverdale,WA,98383,Washington
"Macy's Tacoma Furniture and Mattress Gallery in Tacoma, WA",https://www.macys.com/stores/wa/tacoma/tacoma-furniture-and-mattress-gallery_443.html,47.214457,-122.460462,(253) 471-5400,1767 S 48th St ,Tacoma,WA,98408,Washington
"Macy's Tacoma Mall in Tacoma, WA",https://www.macys.com/stores/wa/tacoma/tacoma-mall_434.html,47.216417,-122.467857,(253) 471-6800,4502 S Steele St Ste 700 ,Tacoma,WA,98409,Washington
"Macy's Tukwila Furniture and Mattress Gallery in Tukwila, WA",https://www.macys.com/stores/wa/tukwila/parkway-super-center_447.html,47.442967,-122.259923,(425) 656-6850,17750 Southcenter Pkwy. ,Tukwila,WA,98188,Washington
"Macy's Tukwila Furniture Clearance Center in Tukwila, WA",https://www.macys.com/stores/wa/tukwila/tukwila-furniture-clearance-center_444.html,47.451327,-122.26034,(206) 575-2164,17855 Southcenter Parkway ,Tukwila,WA,98188,Washington
"Macy's Southcenter Mall in Tukwila, WA",https://www.macys.com/stores/wa/tukwila/westfield-southcenter_433.html,47.459807,-122.259188,(425) 656-6000,500 Southcenter Mall ,Tukwila,WA,98188,Washington
"Macy's Guam in Dededo, GU",https://www.macys.com/stores/gu/dededo/micronesia-mall_468.html,13.520292,144.818547,671-637-9416,1088 W Marine Corps Dr Ste 100 Suite 100,Dededo,GU,96929,
"Macy's Plaza Del Caribe in Ponce, PR",https://www.macys.com/stores/pr/ponce/plaza-del-caribe_806.html,17.9924443,-66.6116271,787-984-1400,2050 Ponce By Pass ,Ponce,PR,00717,
"Macy's Plaza Las Américas in San Juan, PR",https://www.macys.com/stores/pr/sanjuan/plaza-las-americas_21.html,18.420479,-66.074378,787-296-3971,525 Ave Fd Roosevelt Ste 591 ,San Juan,PR,00918,
"Macy's Riverchase Galleria in Hoover, AL",https://www.macys.com/stores/al/hoover/riverchase-galleria_747.html,33.377235,-86.807359,(205) 985-2600,2600 Riverchase Galleria ,Hoover,AL,35244,Alabama
"Macy's Chandler Fashion Center in Chandler, AZ",https://www.macys.com/stores/az/chandler/chandler-fashion-center_453.html,33.305326,-111.896113,(480) 821-8611,3107 W Chandler Blvd ,Chandler,AZ,85226,Arizona
"Macy's Santan Village in Gilbert, AZ",https://www.macys.com/stores/az/gilbert/santan-village_465.html,33.312428,-111.743067,(480) 792-6333,2190 E Williams Field Rd ,Gilbert,AZ,85295,Arizona
"Macy's Arrowhead Towne Center in Glendale, AZ",https://www.macys.com/stores/az/glendale/arrowhead-towne-center_452.html,33.642168,-112.225948,(623) 979-7900,7600 W Arrowhead Towne Ctr ,Glendale,AZ,85308,Arizona
"Macy's Superstition Springs Center in Mesa, AZ",https://www.macys.com/stores/az/mesa/superstition-springs-center_459.html,33.39046,-111.69004,(480) 807-1400,6535 E Southern Ave ,Mesa,AZ,85206,Arizona
"Macy's Biltmore Fashion Park in Phoenix, AZ",https://www.macys.com/stores/az/phoenix/biltmore-fashion-park_451.html,33.511057,-112.029344,(602) 468-2100,2410 E Camelback Rd ,Phoenix,AZ,85016,Arizona
"Macy's Scottsdale Fashion Square in Scottsdale, AZ",https://www.macys.com/stores/az/scottsdale/scottsdale-fashion-square_450.html,33.502509,-111.929023,(480) 840-0333,7014 E Camelback Rd Ste 5000 Suite 5000,Scottsdale,AZ,85251,Arizona
"Macy's Tucson Mall in Tucson, AZ",https://www.macys.com/stores/az/tucson/tucson-mall_457.html,32.288043,-110.97141,(520) 798-2100,4470 N Oracle Rd ,Tucson,AZ,85705,Arizona
"Macy's Westfield Santa Anita in Arcadia, CA",https://www.macys.com/stores/ca/arcadia/shops-at-santa-anita_482.html,34.134955,-118.048656,(626) 445-5711,400 S Baldwin Ave Ste 100 ,Arcadia,CA,91007,California
"Macy's Valley Plaza Mall in Bakersfield, CA",https://www.macys.com/stores/ca/bakersfield/valley-plaza_495.html,35.338168,-119.031634,(661) 832-5550,2601 Ming Ave ,Bakersfield,CA,93304,California
"Macy's Burbank Town Center in Burbank, CA",https://www.macys.com/stores/ca/burbank/burbank-town-center_504.html,34.184122,-118.313287,(818) 841-2100,200 E Cypress Ave ,Burbank,CA,91502,California
"Macy's Westfield Topanga Plaza in Canoga Park, CA",https://www.macys.com/stores/ca/canogapark/westfield-topanga-plaza_503.html,34.19197,-118.60386,(818) 883-7211,21900 Vanowen St ,Canoga Park,CA,91303,California
"Macy's Capitola Mall in Capitola, CA",https://www.macys.com/stores/ca/capitola/capitola-mall_364.html,36.976677,-121.968922,(831) 621-3333,1865 41st Ave ,Capitola,CA,95010,California
"Macy's The Shoppes at Carlsbad in Carlsbad, CA",https://www.macys.com/stores/ca/carlsbad/shoppes-at-carlsbad_545.html,33.178835,-117.332348,(760) 729-9121,2559 El Camino Real ,Carlsbad,CA,92008,California
"Macy's Los Cerritos Center in Cerritos, CA",https://www.macys.com/stores/ca/cerritos/los-cerritos-center_483.html,33.861494,-118.092495,(562) 860-0411,500 Los Cerritos Mall Rm 1 ,Cerritos,CA,90703,California
"Macy's Sunrise Mall in Citrus Heights, CA",https://www.macys.com/stores/ca/citrusheights/sunrise-mall_410.html,38.674094,-121.267814,(916) 962-3333,6000 Sunrise Mall ,Citrus Heights,CA,95610,California
"Macy's Sun Valley Shopping Center in Concord, CA",https://www.macys.com/stores/ca/concord/sunvalley-shopping-center_323.html,37.967684,-122.061526,(925) 689-3333,341 Sun Valley Mall ,Concord,CA,94520,California
"Macy's The Village at Corte Madera in Corte Madera, CA",https://www.macys.com/stores/ca/cortemadera/village-at-corte-madera_328.html,37.927715,-122.513035,(415) 927-3333,1400 Redwood Hwy ,Corte Madera,CA,94925,California
"Macy's South Coast Plaza in Costa Mesa, CA",https://www.macys.com/stores/ca/costamesa/south-coast-plaza_523.html,33.69372,-117.887093,(714) 556-0611,3333 Bristol St Ste 6000 ,Costa Mesa,CA,92626,California
"Macy's Culver City Center in Culver City, CA",https://www.macys.com/stores/ca/culvercity/westfield-culver-city_516.html,33.988453,-118.393974,(310) 390-8911,6200 W Slauson Ave ,Culver City,CA,90230,California
"Macy's Serramonte Center in Daly City, CA",https://www.macys.com/stores/ca/dalycity/serramonte-center_431.html,37.673742,-122.470927,(650) 994-3333,1 Serramonte Ctr ,Daly City,CA,94015,California
"Macy's Stonewood Center in Downey, CA",https://www.macys.com/stores/ca/downey/stonewood-center_481.html,33.934691,-118.119528,(562) 862-2880,400 Stonewood St ,Downey,CA,90241,California
"Macy's Imperial Valley Mall in El Centro, CA",https://www.macys.com/stores/ca/elcentro/imperial-valley-mall_554.html,32.761996,-115.531974,(760) 352-5901,3551 S Dogwood Rd ,El Centro,CA,92243,California
"Macy's Westfield North County in Escondido, CA",https://www.macys.com/stores/ca/escondido/north-county-mall_550.html,33.06849,-117.06623,(760) 489-2336,220 E Via Rancho Pkwy ,Escondido,CA,92025,California
"Macy's Westfield Solano in Fairfield, CA",https://www.macys.com/stores/ca/fairfield/solano-town-center_326.html,38.259856,-122.055954,(707) 428-3333,1544 Travis Blvd ,Fairfield,CA,94533,California
"Macy's Glendale Galleria in Glendale, CA",https://www.macys.com/stores/ca/glendale/glendale-galleria_502.html,34.145929,-118.259191,(818) 240-8411,2100 Glendale Galleria ,Glendale,CA,91210,California
"Macy's Southland Mall in Hayward, CA",https://www.macys.com/stores/ca/hayward/southland-mall_337.html,37.650387,-122.102162,(510) 786-4300,800 Southland Mall ,Hayward,CA,94545,California
"Macy's Grossmont Center in La Mesa, CA",https://www.macys.com/stores/ca/lamesa/grossmont-center_549.html,32.779005,-117.011433,(619) 465-1121,5500 Grossmont Ctr Dr Ste 351 ,La Mesa,CA,91942,California
"Macy's Lakewood Center in Lakewood, CA",https://www.macys.com/stores/ca/lakewood/lakewood-center_513.html,33.850538,-118.1424,(562) 529-5111,98 Lakewood Center Mall ,Lakewood,CA,90712,California
"Macy's Manhattan Village in Manhattan Beach, CA",https://www.macys.com/stores/ca/manhattanbeach/manhattan-village_514.html,33.900081,-118.393635,(310) 546-5525,3400 N Sepulveda Blvd ,Manhattan Beach,CA,90266,California
"Macy's at The Shops at Mission Viejo in Mission Viejo, CA",https://www.macys.com/stores/ca/missionviejo/shops-at-mission-viejo_526.html,33.55929,-117.66776,(949) 364-3111,300 The Shops At Mission Viejo ,Mission Viejo,CA,92691,California
"Macy's Vintage Faire Mall in Modesto, CA",https://www.macys.com/stores/ca/modesto/vintage-faire-mall_335.html,37.686557,-121.05024,(209) 575-3333,500 Vintage Faire Mall ,Modesto,CA,95356,California
"Macy's Montclair Plaza in Montclair, CA",https://www.macys.com/stores/ca/montclair/montclair-place_486.html,34.086954,-117.696209,(909) 621-3011,5000 E Montclair Plaza Ln ,Montclair,CA,91763,California
"Macy's Montebello in Montebello, CA",https://www.macys.com/stores/ca/montebello/shops-at-montebello_484.html,34.035173,-118.083746,(323) 201-2111,1900 Montebello Town Ctr ,Montebello,CA,90640,California
"Macy's Del Monte Shopping Center in Monterey, CA",https://www.macys.com/stores/ca/monterey/del-monte-shopping-center_361.html,36.584239,-121.896524,(831) 372-3333,100 Del Monte Ctr ,Monterey,CA,93940,California
"Macy's Moreno Valley Mall in Moreno Valley, CA",https://www.macys.com/stores/ca/morenovalley/moreno-valley-mall_540.html,33.938988,-117.27399,(951) 656-1611,22400 Towngate Cir ,Moreno Valley,CA,92553,California
"Macy's Westfield Plaza Bonita in National City, CA",https://www.macys.com/stores/ca/nationalcity/westfield-plaza-bonita_548.html,32.657893,-117.0663,(619) 267-3500,3000 Plaza Bonita Rd ,National City,CA,91950,California
"Macy's Newpark Mall in Newark, CA",https://www.macys.com/stores/ca/newark/newpark-mall_336.html,37.525452,-122.001454,(510) 797-3333,200 Newpark Mall ,Newark,CA,94560,California
"Macy's Fashion Island in Newport Beach, CA",https://www.macys.com/stores/ca/newportbeach/fashion-island_528.html,33.614415,-117.875665,(949) 640-8333,101 Newport Center Dr ,Newport Beach,CA,92660,California
"Macy's Northridge Fashion Center in Northridge, CA",https://www.macys.com/stores/ca/northridge/northridge-fashion-center_491.html,34.240796,-118.555754,(818) 885-6611,9301 Tampa Ave Unit 2000 ,Northridge,CA,91324,California
"Macy's Westfield Palm Desert in Palm Desert, CA",https://www.macys.com/stores/ca/palmdesert/shops-at-palm-desert_534.html,33.727167,-116.402392,(760) 346-9300,72780 Highway 111 ,Palm Desert,CA,92260,California
"Macy's Antelope Valley in Palmdale, CA",https://www.macys.com/stores/ca/palmdale/antelope-valley-mall_414.html,34.604849,-118.149985,(661) 456-3333,1123 W Rancho Vista Blvd ,Palmdale,CA,93551,California
"Macy's Stanford Shopping Center in Palo Alto, CA",https://www.macys.com/stores/ca/paloalto/stanford-shopping-center_334.html,37.442542,-122.173155,(650) 326-3333,300 Stanford Shopping Ctr ,Palo Alto,CA,94304,California
"Macy's Pasadena Plaza on Lake Avenue in Pasadena, CA",https://www.macys.com/stores/ca/pasadena/shops-on-lake-avenue_508.html,34.138741,-118.132966,(626) 792-0211,401 S Lake Ave ,Pasadena,CA,91101,California
"Macy's Victoria Gardens in Rancho Cucamonga, CA",https://www.macys.com/stores/ca/ranchocucamonga/victoria-gardens_533.html,34.110826,-117.53016,(909) 646-3333,7855 Kew Ave ,Rancho Cucamonga,CA,91739,California
"Macy's Mt. Shasta Mall in Redding, CA",https://www.macys.com/stores/ca/redding/mt.-shasta-mall_411.html,40.589339,-122.355668,(530) 722-9111,1291 Hilltop Dr ,Redding,CA,96003,California
"Macy's South Bay Galleria in Redondo Beach, CA",https://www.macys.com/stores/ca/redondobeach/south-bay-galleria_517.html,33.87096,-118.354119,(310) 370-2511,1801 Hawthorne Blvd ,Redondo Beach,CA,90278,California
"Macy's Galleria at Tyler in Riverside, CA",https://www.macys.com/stores/ca/riverside/galleria-at-tyler_536.html,33.908581,-117.456507,(951) 687-1021,3500 Tyler St ,Riverside,CA,92503,California
"Macy's North Ridge Mall in Salinas, CA",https://www.macys.com/stores/ca/salinas/northridge-mall_363.html,36.719312,-121.658914,(831) 443-1111,200 Northridge Shopping Ctr ,Salinas,CA,93906,California
"Macy's San Bernardino in San Bernardino, CA",https://www.macys.com/stores/ca/sanbernardino/inland-center_538.html,34.091463,-117.294772,(909) 888-1444,400 Inland Center Dr ,San Bernardino,CA,92408,California
"Macy's Union Square in San Francisco, CA",https://www.macys.com/stores/ca/sanfrancisco/union-square_428.html,37.786799,-122.407396,(415) 397-3333,170 Ofarrell St ,San Francisco,CA,94102,California
"Macy's Bayfair Center in San Leandro, CA",https://www.macys.com/stores/ca/sanleandro/bayfair-center_339.html,37.699422,-122.12332,(510) 357-3333,15555 E 14th St Ste 1 ,San Leandro,CA,94578,California
"Macy's The Mall at Northgate in San Rafael, CA",https://www.macys.com/stores/ca/sanrafael/northgate_327.html,38.004711,-122.5431,(415) 499-5200,1000 Northgate Mall ,San Rafael,CA,94903,California
"Macy's MainPlace Mall in Santa Ana, CA",https://www.macys.com/stores/ca/santaana/mainplace-mall_527.html,33.776053,-117.869067,(714) 547-7211,2850 N Main St ,Santa Ana,CA,92705,California
"Macy's La Cumbre Plaza in Santa Barbara, CA",https://www.macys.com/stores/ca/santabarbara/la-cumbre-plaza_497.html,34.439384,-119.747712,(805) 687-6411,3805 State St ,Santa Barbara,CA,93105,California
"Macy's Westfield Valley Fair in Santa Clara, CA",https://www.macys.com/stores/ca/santaclara/westfield-valley-fair_358.html,37.324174,-121.948438,(408) 248-3333,2801 Stevens Creek Blvd ,Santa Clara,CA,95050,California
"Macy's Westfield Valencia Town Center in Santa Clarita, CA",https://www.macys.com/stores/ca/santaclarita/valencia-town-center_493.html,34.415557,-118.558918,(661) 287-5911,26450 McBean Pkwy ,Santa Clarita,CA,91355,California
"Macy's Santa Maria Town Center in Santa Maria, CA",https://www.macys.com/stores/ca/santamaria/santa-maria-town-center_499.html,34.951567,-120.435064,(805) 349-8940,302 Town Ctr E ,Santa Maria,CA,93454,California
"Macy's Trolley in Santee, CA",https://www.macys.com/stores/backstage/ca/santee/trolley-square_664.html,32.8402337,-116.9799993,(619) 667-6380,9918 MISSION GORGE RD ,Santee,CA,92071,California
"Macy's Westfield Fashion Square in Sherman Oaks, CA",https://www.macys.com/stores/ca/shermanoaks/westfield-fashion-square_501.html,34.157002,-118.435247,(818) 788-8350,14000 Riverside Dr ,Sherman Oaks,CA,91423,California
"Macy's Simi Valley Town Center in Simi Valley, CA",https://www.macys.com/stores/ca/simivalley/simi-valley-town-center_496.html,34.284392,-118.773144,(805) 581-3333,1475 Simi Town Center Way ,Simi Valley,CA,93065,California
"Macy's Sherwood Mall in Stockton, CA",https://www.macys.com/stores/ca/stockton/sherwood-place_338.html,37.997948,-121.313555,(209) 477-3333,5242 Pacific Ave ,Stockton,CA,95207,California
"Macy's Temecula Promenade in Temecula, CA",https://www.macys.com/stores/ca/temecula/promenade-temecula_535.html,33.523118,-117.154097,(951) 541-3333,40780 Winchester Rd ,Temecula,CA,92591,California
"Macy's The Oaks in Thousand Oaks, CA",https://www.macys.com/stores/ca/thousandoaks/oaks_492.html,34.186138,-118.890342,(805) 496-4444,590 W Hillcrest Dr ,Thousand Oaks,CA,91360,California
"Macy's Del Amo Fashion Center in Torrance, CA",https://www.macys.com/stores/ca/torrance/del-amo-fashion-center_511.html,33.831725,-118.352184,(310) 370-8511,21600 Hawthorne Blvd ,Torrance,CA,90503,California
"Macy's West Valley - Tracy in Tracy, CA",https://www.macys.com/stores/ca/tracy/west-valley-mall_386.html,37.761864,-121.458828,(209) 221-4500,3400 Naglee Rd ,Tracy,CA,95304,California
"Macy's Pacfic View Mall in Ventura, CA",https://www.macys.com/stores/ca/ventura/pacific-view_494.html,34.267288,-119.247801,(805) 642-7511,477 S Mills Rd Rm 13 ,Ventura,CA,93003,California
"Macy's Victor Valley in Victorville, CA",https://www.macys.com/stores/ca/victorville/mall-of-victor-valley_557.html,34.474308,-117.345577,(760) 493-3300,14580 Bear Valley Rd ,Victorville,CA,92392,California
"Macy's Visalia in Visalia, CA",https://www.macys.com/stores/ca/visalia/visalia-mall_448.html,36.310571,-119.314491,(559) 622-1111,2211 S Mooney Blvd ,Visalia,CA,93277,California
"Macy's Broadway Plaza in Walnut Creek, CA",https://www.macys.com/stores/ca/walnutcreek/broadway-plaza_324.html,37.895097,-122.058314,(925) 279-3333,1320 Broadway Plz ,Walnut Creek,CA,94596,California
"Macy's Plaza at West Covina in West Covina, CA",https://www.macys.com/stores/ca/westcovina/plaza-west-covina_485.html,34.070444,-117.92933,(626) 962-5400,1111 Plaza Dr ,West Covina,CA,91790,California
"Macy's Westminster Mall in Westminster, CA",https://www.macys.com/stores/ca/westminster/westminster-mall_525.html,33.747182,-118.012349,(714) 657-3333,300 Westminster Mall ,Westminster,CA,92683,California
"Macy's Town Center at Aurora in Aurora, CO",https://www.macys.com/stores/co/aurora/town-center-at-aurora_350.html,39.707322,-104.822822,(303) 214-1860,14200 E Alameda Ave Unit 8340 ,Aurora,CO,80012,Colorado
"Macy's Flatiron Crossing in Broomfield, CO",https://www.macys.com/stores/co/broomfield/flatiron-crossing_346.html,39.93388,-105.135943,(303) 222-4000,11 W Flatiron Crossing Dr ,Broomfield,CO,80021,Colorado
"Macy's Southglenn Furniture and Mattress Gallery in Centennial, CO",https://www.macys.com/stores/co/centennial/southglenn-furniture-and-mattress-gallery_356.html,39.592964,-104.965097,(303) 703-3333,6797 South Vine Street ,Centennial,CO,80122,Colorado
"Macy's Chapel Hills Mall in Colorado Springs, CO",https://www.macys.com/stores/co/coloradosprings/chapel-hills-mall_353.html,38.946045,-104.795067,(719) 593-3333,1750 Briargate Blvd ,Colorado Springs,CO,80920,Colorado
"Macy's Southwest Plaza in Littleton, CO",https://www.macys.com/stores/co/littleton/southwest-plaza_347.html,39.610879,-105.095492,(303) 729-2862,8501 W Bowles Ave Ste 2D637,Littleton,CO,80123,Colorado
"Macy's Park Meadows in Lone Tree, CO",https://www.macys.com/stores/co/lonetree/park-meadows_345.html,39.560752,-104.877031,(303) 566-6370,8455 Park Meadows Center Dr ,Lone Tree,CO,80124,Colorado
"Macy's The Promenade Shops at Centerra in Loveland, CO",https://www.macys.com/stores/co/loveland/promenade-shops-at-centerra_351.html,40.417018,-104.988352,(970) 612-1401,5995 Sky Pond Dr ,Loveland,CO,80538,Colorado
"Macy's Orchard Town Center in Westminster, CO",https://www.macys.com/stores/co/westminster/orchard-town-center_354.html,39.960683,-104.992897,(303) 457-7333,14535 Delaware St ,Westminster,CO,80023,Colorado
"Macy's Danbury Fair in Danbury, CT",https://www.macys.com/stores/ct/danbury/danbury-fair_28.html,41.380228,-73.480972,(203) 731-3500,7 Backus Ave ,Danbury,CT,06810,Connecticut
"Macy's Westfarms Mall in Farmington, CT",https://www.macys.com/stores/ct/farmington/westfarms-mall_4.html,41.724727,-72.762202,(860) 561-3030,100 Westfarms Mall ,Farmington,CT,06032,Connecticut
"Macy's Pavilions at Buckland Hills in Manchester, CT",https://www.macys.com/stores/ct/manchester/shoppes-at-buckland-hills_115.html,41.803541,-72.55029,(860) 644-6700,183 Pavilion Dr ,Manchester,CT,06042,Connecticut
"Macy's Connecticut Post Mall in Milford, CT",https://www.macys.com/stores/ct/milford/connecticut-post-mall_116.html,41.140823,-73.266382,(203) 877-9393,1201 Boston Post Rd ,Milford,CT,06460,Connecticut
"Macy's Stamford in Stamford, CT",https://www.macys.com/stores/ct/stamford/stamford-town-center_20.html,41.05322,-73.537151,(203) 964-1500,151 Broad St Town Center Mall,Stamford,CT,06901,Connecticut
"Macy's Trumbull in Trumbull, CT",https://www.macys.com/stores/ct/trumbull/trumbull-mall_51.html,41.229386,-73.226931,(203) 374-7200,5065 Main St Ste C ,Trumbull,CT,06611,Connecticut
"Macy's Dover Mall in Dover, DE",https://www.macys.com/stores/de/dover/dover-mall_175.html,39.194008,-75.539679,(302) 736-0974,1365 N Dupont Hwy Ste 2000 ,Dover,DE,19901,Delaware
"Macy's Christiana in Newark, DE",https://www.macys.com/stores/de/newark/christiana-mall_74.html,39.680781,-75.651648,(302) 366-5800,501 Christiana Mall ,Newark,DE,19702,Delaware
"Macy's Concord Mall in Wilmington, DE",https://www.macys.com/stores/de/wilmington/concord-mall_162.html,39.82301,-75.545121,(302) 478-1860,4747 Concord Pike ,Wilmington,DE,19803,Delaware
"Macy's Downtown-Metro Center in Washington, DC",https://www.macys.com/stores/dc/washington/downtown-metro-center_68.html,38.898626,-77.028232,(202) 628-6661,1201 G St Nw ,Washington,DC,20005,
"Macy's Aventura in Aventura, FL",https://www.macys.com/stores/fl/aventura/aventura-mall_769.html,25.95736,-80.141753,(305) 682-3300,19535 Biscayne Blvd ,Aventura,FL,33180,Florida
